/Users/virt/Developer/Self-Driving cars/batururimi/Car-Behavioral-Cloning/IMG/center_2017_12_20_12_21_39_806.jpg,/Users/virt/Developer/Self-Driving cars/batururimi/Car-Behavioral-Cloning/IMG/left_2017_12_20_12_21_39_806.jpg,/Users/virt/Developer/Self-Driving cars/batururimi/Car-Behavioral-Cloning/IMG/right_2017_12_20_12_21_39_806.jpg,0,0,0,27.9117
/Users/virt/Developer/Self-Driving cars/batururimi/Car-Behavioral-Cloning/IMG/center_2017_12_20_12_21_39_892.jpg,/Users/virt/Developer/Self-Driving cars/batururimi/Car-Behavioral-Cloning/IMG/left_2017_12_20_12_21_39_892.jpg,/Users/virt/Developer/Self-Driving cars/batururimi/Car-Behavioral-Cloning/IMG/right_2017_12_20_12_21_39_892.jpg,0,0,0,27.69139
/Users/virt/Developer/Self-Driving cars/batururimi/Car-Behavioral-Cloning/IMG/center_2017_12_20_12_21_39_979.jpg,/Users/virt/Developer/Self-Driving cars/batururimi/Car-Behavioral-Cloning/IMG/left_2017_12_20_12_21_39_979.jpg,/Users/virt/Developer/Self-Driving cars/batururimi/Car-Behavioral-Cloning/IMG/right_2017_12_20_12_21_39_979.jpg,0,0,0,27.41715
/Users/virt/Developer/Self-Driving cars/batururimi/Car-Behavioral-Cloning/IMG/center_2017_12_20_12_21_40_067.jpg,/Users/virt/Developer/Self-Driving cars/batururimi/Car-Behavioral-Cloning/IMG/left_2017_12_20_12_21_40_067.jpg,/Users/virt/Developer/Self-Driving cars/batururimi/Car-Behavioral-Cloning/IMG/right_2017_12_20_12_21_40_067.jpg,0,0,0,27.19988
/Users/virt/Developer/Self-Driving cars/batururimi/Car-Behavioral-Cloning/IMG/center_2017_12_20_12_21_40_159.jpg,/Users/virt/Developer/Self-Driving cars/batururimi/Car-Behavioral-Cloning/IMG/left_2017_12_20_12_21_40_159.jpg,/Users/virt/Developer/Self-Driving cars/batururimi/Car-Behavioral-Cloning/IMG/right_2017_12_20_12_21_40_159.jpg,0,0,0,26.92919
/Users/virt/Developer/Self-Driving cars/batururimi/Car-Behavioral-Cloning/IMG/center_2017_12_20_12_21_40_251.jpg,/Users/virt/Developer/Self-Driving cars/batururimi/Car-Behavioral-Cloning/IMG/left_2017_12_20_12_21_40_251.jpg,/Users/virt/Developer/Self-Driving cars/batururimi/Car-Behavioral-Cloning/IMG/right_2017_12_20_12_21_40_251.jpg,0,0,0,26.71461
/Users/virt/Developer/Self-Driving cars/batururimi/Car-Behavioral-Cloning/IMG/center_2017_12_20_12_21_40_337.jpg,/Users/virt/Developer/Self-Driving cars/batururimi/Car-Behavioral-Cloning/IMG/left_2017_12_20_12_21_40_337.jpg,/Users/virt/Developer/Self-Driving cars/batururimi/Car-Behavioral-Cloning/IMG/right_2017_12_20_12_21_40_337.jpg,0,0,0,26.44879
/Users/virt/Developer/Self-Driving cars/batururimi/Car-Behavioral-Cloning/IMG/center_2017_12_20_12_21_40_420.jpg,/Users/virt/Developer/Self-Driving cars/batururimi/Car-Behavioral-Cloning/IMG/left_2017_12_20_12_21_40_420.jpg,/Users/virt/Developer/Self-Driving cars/batururimi/Car-Behavioral-Cloning/IMG/right_2017_12_20_12_21_40_420.jpg,0,0,0,26.23889
/Users/virt/Developer/Self-Driving cars/batururimi/Car-Behavioral-Cloning/IMG/center_2017_12_20_12_21_40_503.jpg,/Users/virt/Developer/Self-Driving cars/batururimi/Car-Behavioral-Cloning/IMG/left_2017_12_20_12_21_40_503.jpg,/Users/virt/Developer/Self-Driving cars/batururimi/Car-Behavioral-Cloning/IMG/right_2017_12_20_12_21_40_503.jpg,0,0,0,26.03089
/Users/virt/Developer/Self-Driving cars/batururimi/Car-Behavioral-Cloning/IMG/center_2017_12_20_12_21_40_591.jpg,/Users/virt/Developer/Self-Driving cars/batururimi/Car-Behavioral-Cloning/IMG/left_2017_12_20_12_21_40_591.jpg,/Users/virt/Developer/Self-Driving cars/batururimi/Car-Behavioral-Cloning/IMG/right_2017_12_20_12_21_40_591.jpg,0,0,0,25.82448
/Users/virt/Developer/Self-Driving cars/batururimi/Car-Behavioral-Cloning/IMG/center_2017_12_20_12_21_40_677.jpg,/Users/virt/Developer/Self-Driving cars/batururimi/Car-Behavioral-Cloning/IMG/left_2017_12_20_12_21_40_677.jpg,/Users/virt/Developer/Self-Driving cars/batururimi/Car-Behavioral-Cloning/IMG/right_2017_12_20_12_21_40_677.jpg,0,0,0,25.56774
/Users/virt/Developer/Self-Driving cars/batururimi/Car-Behavioral-Cloning/IMG/center_2017_12_20_12_21_40_763.jpg,/Users/virt/Developer/Self-Driving cars/batururimi/Car-Behavioral-Cloning/IMG/left_2017_12_20_12_21_40_763.jpg,/Users/virt/Developer/Self-Driving cars/batururimi/Car-Behavioral-Cloning/IMG/right_2017_12_20_12_21_40_763.jpg,0,0,0,25.36367
/Users/virt/Developer/Self-Driving cars/batururimi/Car-Behavioral-Cloning/IMG/center_2017_12_20_12_21_40_849.jpg,/Users/virt/Developer/Self-Driving cars/batururimi/Car-Behavioral-Cloning/IMG/left_2017_12_20_12_21_40_849.jpg,/Users/virt/Developer/Self-Driving cars/batururimi/Car-Behavioral-Cloning/IMG/right_2017_12_20_12_21_40_849.jpg,0,0,0,25.16142
